customer_id,persona
1,Thrifty
2,Shopper
3,Weekend
4,Weekend
5,Commuter
6,Commuter
7,Commuter
8,Shopper
9,Weekend
10,Weekend
11,Commuter
12,Shopper
13,Shopper
14,Commuter
15,Commuter
16,Commuter
17,Thrifty
18,Thrifty
19,Thrifty
20,Commuter
21,Weekend
22,Commuter
23,Commuter
24,Thrifty
25,Thrifty
26,Weekend
27,Commuter
28,Thrifty
29,Weekend
30,Commuter
31,Weekend
32,Commuter
33,Commuter
34,Shopper
35,Shopper
36,Shopper
37,Thrifty
38,Commuter
39,Weekend
40,Thrifty
41,Commuter
42,Thrifty
43,Commuter
44,Shopper
45,Commuter
46,Weekend
47,Thrifty
48,Thrifty
49,Thrifty
50,Commuter
51,Shopper
52,Weekend
53,Shopper
54,Shopper
55,Weekend
56,Shopper
57,Commuter
58,Commuter
59,Commuter
60,Thrifty
61,Thrifty
62,Commuter
63,Shopper
64,Thrifty
65,Commuter
66,Thrifty
67,Commuter
68,Shopper
69,Commuter
70,Shopper
71,Weekend
72,Commuter
73,Commuter
74,Shopper
75,Weekend
76,Weekend
77,Weekend
78,Commuter
79,Thrifty
80,Commuter
81,Shopper
82,Weekend
83,Thrifty
84,Commuter
85,Thrifty
86,Thrifty
87,Weekend
88,Weekend
89,Shopper
90,Thrifty
91,Commuter
92,Weekend
93,Weekend
94,Weekend
95,Weekend
96,Thrifty
97,Thrifty
98,Thrifty
99,Commuter
100,Commuter
101,Commuter
102,Weekend
103,Thrifty
104,Thrifty
105,Shopper
106,Commuter
107,Thrifty
108,Weekend
109,Commuter
110,Commuter
111,Commuter
112,Commuter
113,Shopper
114,Shopper
115,Weekend
116,Shopper
117,Shopper
118,Commuter
119,Shopper
120,Thrifty
121,Shopper
122,Shopper
123,Thrifty
124,Commuter
125,Commuter
126,Thrifty
127,Shopper
128,Shopper
129,Commuter
130,Thrifty
131,Thrifty
132,Commuter
133,Commuter
134,Thrifty
135,Shopper
136,Thrifty
137,Thrifty
138,Weekend
139,Thrifty
140,Shopper
141,Shopper
142,Commuter
143,Thrifty
144,Thrifty
145,Commuter
146,Commuter
147,Weekend
148,Thrifty
149,Commuter
150,Commuter
151,Shopper
152,Commuter
153,Commuter
154,Thrifty
155,Shopper
156,Commuter
157,Weekend
158,Weekend
159,Commuter
160,Weekend
161,Thrifty
162,Weekend
163,Weekend
164,Thrifty
165,Commuter
166,Shopper
167,Thrifty
168,Commuter
169,Commuter
170,Weekend
171,Weekend
172,Commuter
173,Thrifty
174,Commuter
175,Weekend
176,Commuter
177,Weekend
178,Thrifty
179,Shopper
180,Commuter
181,Thrifty
182,Commuter
183,Shopper
184,Shopper
185,Commuter
186,Weekend
187,Shopper
188,Weekend
189,Thrifty
190,Commuter
191,Commuter
192,Shopper
193,Shopper
194,Weekend
195,Thrifty
196,Thrifty
197,Weekend
198,Shopper
199,Shopper
200,Weekend
201,Weekend
202,Commuter
203,Commuter
204,Shopper
205,Weekend
206,Commuter
207,Commuter
208,Weekend
209,Commuter
210,Commuter
211,Thrifty
212,Weekend
213,Weekend
214,Commuter
215,Weekend
216,Commuter
217,Thrifty
218,Weekend
219,Weekend
220,Shopper
221,Weekend
222,Weekend
223,Commuter
224,Thrifty
225,Commuter
226,Commuter
227,Shopper
228,Thrifty
229,Shopper
230,Weekend
231,Weekend
232,Thrifty
233,Weekend
234,Thrifty
235,Commuter
236,Weekend
237,Commuter
238,Commuter
239,Weekend
240,Commuter
241,Shopper
242,Shopper
243,Shopper
244,Thrifty
245,Commuter
246,Shopper
247,Thrifty
248,Shopper
249,Shopper
250,Shopper
251,Commuter
252,Thrifty
253,Shopper
254,Thrifty
255,Commuter
256,Weekend
257,Shopper
258,Weekend
259,Weekend
260,Commuter
261,Weekend
262,Shopper
263,Commuter
264,Thrifty
265,Shopper
266,Weekend
267,Weekend
268,Weekend
269,Thrifty
270,Commuter
271,Shopper
272,Shopper
273,Shopper
274,Shopper
275,Thrifty
276,Thrifty
277,Weekend
278,Weekend
279,Weekend
280,Weekend
281,Shopper
282,Thrifty
283,Thrifty
284,Commuter
285,Weekend
286,Commuter
287,Thrifty
288,Thrifty
289,Commuter
290,Weekend
291,Commuter
292,Commuter
293,Shopper
294,Thrifty
295,Commuter
296,Thrifty
297,Weekend
298,Commuter
299,Weekend
300,Commuter
301,Commuter
302,Thrifty
303,Thrifty
304,Weekend
305,Weekend
306,Shopper
307,Thrifty
308,Thrifty
309,Weekend
310,Commuter
311,Thrifty
312,Commuter
313,Commuter
314,Shopper
315,Shopper
316,Weekend
317,Thrifty
318,Commuter
319,Commuter
320,Commuter
321,Thrifty
322,Weekend
323,Weekend
324,Commuter
325,Shopper
326,Weekend
327,Weekend
328,Weekend
329,Thrifty
330,Commuter
331,Thrifty
332,Weekend
333,Commuter
334,Commuter
335,Commuter
336,Commuter
337,Shopper
338,Weekend
339,Thrifty
340,Commuter
341,Thrifty
342,Thrifty
343,Commuter
344,Thrifty
345,Thrifty
346,Weekend
347,Weekend
348,Commuter
349,Thrifty
350,Weekend
351,Thrifty
352,Shopper
353,Weekend
354,Commuter
355,Commuter
356,Weekend
357,Commuter
358,Weekend
359,Shopper
360,Weekend
361,Thrifty
362,Weekend
363,Thrifty
364,Thrifty
365,Shopper
366,Thrifty
367,Shopper
368,Shopper
369,Commuter
370,Commuter
371,Commuter
372,Commuter
373,Commuter
374,Weekend
375,Commuter
376,Thrifty
377,Shopper
378,Commuter
379,Shopper
380,Commuter
381,Commuter
382,Weekend
383,Weekend
384,Shopper
385,Weekend
386,Shopper
387,Commuter
388,Commuter
389,Weekend
390,Shopper
391,Shopper
392,Thrifty
393,Thrifty
394,Weekend
395,Thrifty
396,Shopper
397,Shopper
398,Thrifty
399,Weekend
400,Weekend
401,Commuter
402,Shopper
403,Thrifty
404,Shopper
405,Thrifty
406,Shopper
407,Thrifty
408,Commuter
409,Shopper
410,Commuter
411,Thrifty
412,Shopper
413,Shopper
414,Weekend
415,Weekend
416,Thrifty
417,Commuter
418,Thrifty
419,Weekend
420,Weekend
421,Weekend
422,Weekend
423,Commuter
424,Thrifty
425,Commuter
426,Thrifty
427,Thrifty
428,Shopper
429,Thrifty
430,Commuter
431,Commuter
432,Weekend
433,Weekend
434,Commuter
435,Commuter
436,Weekend
437,Commuter
438,Shopper
439,Weekend
440,Commuter
441,Commuter
442,Shopper
443,Thrifty
444,Thrifty
445,Shopper
446,Shopper
447,Shopper
448,Weekend
449,Thrifty
450,Commuter
451,Weekend
452,Weekend
453,Thrifty
454,Shopper
455,Commuter
456,Thrifty
457,Commuter
458,Thrifty
459,Commuter
460,Commuter
461,Commuter
462,Weekend
463,Weekend
464,Weekend
465,Shopper
466,Thrifty
467,Commuter
468,Shopper
469,Commuter
470,Shopper
471,Commuter
472,Shopper
473,Commuter
474,Shopper
475,Thrifty
476,Shopper
477,Commuter
478,Weekend
479,Shopper
480,Thrifty
481,Weekend
482,Weekend
483,Thrifty
484,Weekend
485,Weekend
486,Shopper
487,Commuter
488,Commuter
489,Shopper
490,Shopper
491,Thrifty
492,Weekend
493,Commuter
494,Commuter
495,Thrifty
496,Thrifty
497,Weekend
498,Commuter
499,Shopper
500,Shopper
501,Weekend
502,Thrifty
503,Thrifty
504,Shopper
505,Weekend
506,Commuter
507,Shopper
508,Shopper
509,Shopper
510,Weekend
511,Weekend
512,Thrifty
513,Shopper
514,Shopper
515,Commuter
516,Commuter
517,Thrifty
518,Shopper
519,Shopper
520,Commuter
521,Weekend
522,Thrifty
523,Shopper
524,Shopper
525,Shopper
526,Thrifty
527,Thrifty
528,Commuter
529,Commuter
530,Shopper
531,Shopper
532,Shopper
533,Shopper
534,Weekend
535,Weekend
536,Shopper
537,Shopper
538,Commuter
539,Thrifty
540,Commuter
541,Shopper
542,Weekend
543,Commuter
544,Weekend
545,Weekend
546,Thrifty
547,Commuter
548,Weekend
549,Thrifty
550,Weekend
551,Thrifty
552,Shopper
553,Weekend
554,Weekend
555,Shopper
556,Thrifty
557,Commuter
558,Commuter
559,Weekend
560,Weekend
561,Weekend
562,Commuter
563,Commuter
564,Commuter
565,Thrifty
566,Weekend
567,Thrifty
568,Thrifty
569,Shopper
570,Thrifty
571,Thrifty
572,Weekend
573,Thrifty
574,Weekend
575,Shopper
576,Shopper
577,Commuter
578,Shopper
579,Thrifty
580,Commuter
581,Thrifty
582,Shopper
583,Thrifty
584,Thrifty
585,Weekend
586,Commuter
587,Commuter
588,Commuter
589,Commuter
590,Commuter
591,Commuter
592,Weekend
593,Commuter
594,Thrifty
595,Shopper
596,Thrifty
597,Weekend
598,Commuter
599,Commuter
600,Commuter
601,Commuter
602,Commuter
603,Commuter
604,Commuter
605,Commuter
606,Thrifty
607,Commuter
608,Thrifty
609,Thrifty
610,Weekend
611,Commuter
612,Weekend
613,Weekend
614,Commuter
615,Shopper
616,Shopper
617,Commuter
618,Commuter
619,Shopper
620,Weekend
621,Commuter
622,Commuter
623,Thrifty
624,Thrifty
