customer_id,visits_total,visits_per_month,avg_check,avg_fuel_liters,coffee_attach_rate,carwash_attach_rate,morning_share,weekend_share,revenue_total,persona_mode
1,15,5.844155844155844,2439.5913333333333,47.10666666666667,0.13333333333333333,0.0,0.0,0.3333333333333333,36593.87,Thrifty
2,34,11.46067415730337,1195.1888235294118,14.191176470588236,0.47058823529411764,0.2647058823529412,0.0,0.2647058823529412,40636.42,Shopper
3,28,10.120481927710843,2034.3021428571428,39.228571428571435,0.5,0.14285714285714285,0.0,0.32142857142857145,56960.46,Weekend
4,17,7.5,2058.6282352941175,39.34117647058823,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.4117647058823529,34996.68,Weekend
5,54,19.518072289156628,1498.9396296296295,20.725925925925928,0.8518518518518519,0.09259259259259259,0.8333333333333334,0.37037037037037035,80942.73999999999,Commuter
6,60,20.224719101123593,1519.9648333333332,20.541666666666668,0.6333333333333333,0.11666666666666667,0.8,0.3,91197.89,Commuter
7,62,21.136363636363637,1468.3737096774194,19.52741935483871,0.6774193548387096,0.08064516129032258,0.8387096774193549,0.16129032258064516,91039.17,Commuter
8,32,11.162790697674419,1210.4809375,15.60625,0.46875,0.25,0.0,0.21875,38735.39,Shopper
9,20,7.0588235294117645,1980.387,38.92,0.45,0.2,0.0,0.3,39607.74,Weekend
10,20,7.228915662650603,2028.157,37.394999999999996,0.4,0.15,0.05,0.2,40563.14,Weekend
11,67,23.64705882352941,1499.3740298507462,20.47313432835821,0.6567164179104478,0.029850746268656716,0.7910447761194029,0.22388059701492538,100458.06,Commuter
12,41,13.820224719101123,1244.810975609756,16.092682926829266,0.5853658536585366,0.14634146341463414,0.0,0.2926829268292683,51037.25,Shopper
13,43,15.0,1199.733488372093,15.63953488372093,0.4186046511627907,0.20930232558139536,0.0,0.20930232558139536,51588.54,Shopper
14,65,22.413793103448278,1494.7307692307693,21.75846153846154,0.6923076923076923,0.12307692307692308,0.8153846153846154,0.3076923076923077,97157.5,Commuter
